"","V1","V2","V3","V4","time","noise","motor","sensor","clean_sensor","nice_noise","ir","ir_median"
5,57,0,127,61,57,0,127,61,61,55,61,61.0
6,58,0,127,60,58,0,127,60,60,55,60,60.0
7,59,0,127,62,59,0,127,62,62,55,62,60.0
8,60,0,127,60,60,0,127,60,60,55,60,60.0
9,61,0,127,60,61,0,127,60,60,55,60,60.0
10,62,0,127,60,62,0,127,60,60,55,60,60.0
11,63,0,127,60,63,0,127,60,60,55,60,60.0
12,64,0,127,60,64,0,127,60,60,55,60,60.0
13,65,0,127,59,65,0,127,59,59,55,59,60.0
14,66,0,127,61,66,0,127,61,61,55,61,60.0
15,67,0,127,59,67,0,127,59,59,55,59,60.0
16,68,0,127,60,68,0,127,60,60,55,60,60.0
17,69,0,127,59,69,0,127,59,59,55,59,59.0
18,70,0,127,64,70,0,127,64,64,55,64,60.0
19,71,0,127,61,71,0,127,61,61,55,61,60.0
20,72,0,127,62,72,0,127,62,62,55,62,61.0
21,73,0,127,61,73,0,127,61,61,55,61,61.0
22,74,0,127,60,74,0,127,60,60,55,60,61.0
23,75,0,127,61,75,0,127,61,61,55,61,61.0
24,76,0,127,60,76,0,127,60,60,55,60,61.0
25,77,0,127,60,77,0,127,60,60,55,60,60.0
26,78,0,127,60,78,0,127,60,60,55,60,60.0
27,79,0,127,61,79,0,127,61,61,55,61,60.0
28,80,0,127,60,80,0,127,60,60,55,60,60.0
29,81,0,127,60,81,0,127,60,60,55,60,60.0
30,82,0,127,60,82,0,127,60,60,55,60,60.0
31,83,0,127,60,83,0,127,60,60,55,60,60.0
32,84,0,127,60,84,0,127,60,60,55,60,60.0
33,85,0,127,59,85,0,127,59,59,55,59,60.0
34,86,0,127,60,86,0,127,60,60,55,60,60.0
35,87,0,127,59,87,0,127,59,59,55,59,60.0
36,88,0,127,60,88,0,127,60,60,55,60,60.0
37,89,0,127,64,89,0,127,64,64,55,64,60.0
38,90,0,127,67,90,0,127,67,67,55,67,60.0
39,91,0,127,60,91,0,127,60,60,55,60,60.0
40,92,0,127,60,92,0,127,60,60,55,60,60.0
41,93,0,127,61,93,0,127,61,61,55,61,61.0
42,94,0,127,60,94,0,127,60,60,55,60,60.0
43,95,0,127,60,95,0,127,60,60,55,60,60.0
44,96,0,127,60,96,0,127,60,60,55,60,60.0
45,97,0,127,62,97,0,127,62,62,55,62,60.0
46,98,0,127,62,98,0,127,62,62,55,62,60.0
47,99,0,127,60,99,0,127,60,60,55,60,60.0
48,100,0,127,60,100,0,127,60,60,55,60,60.0
49,101,1,128,60,101,1,128,60,60,55.5,60,60.0
50,102,1,128,60,102,1,128,60,60,55.5,60,60.0
51,103,1,128,60,103,1,128,60,60,55.5,60,60.0
52,104,1,128,60,104,1,128,60,60,55.5,60,60.0
53,105,1,128,59,105,1,128,59,59,55.5,59,60.0
54,106,1,126,60,106,1,126,60,60,55.5,60,60.0
55,107,1,126,59,107,1,126,59,59,55.5,59,60.0
56,108,1,126,60,108,1,126,60,60,55.5,60,60.0
57,109,1,126,65,109,1,126,65,65,55.5,65,60.0
58,110,1,126,66,110,1,126,66,66,55.5,66,60.0
59,111,1,128,61,111,1,128,61,61,55.5,61,61.0
60,112,1,128,60,112,1,128,60,60,55.5,60,61.0
61,113,1,128,60,113,1,128,60,60,55.5,60,61.0
62,114,1,128,60,114,1,128,60,60,55.5,60,60.0
63,115,1,128,61,115,1,128,61,61,55.5,61,60.0
64,116,1,126,60,116,1,126,60,60,55.5,60,60.0
65,117,1,126,60,117,1,126,60,60,55.5,60,60.0
66,118,1,126,60,118,1,126,60,60,55.5,60,60.0
67,119,1,126,60,119,1,126,60,60,55.5,60,60.0
68,120,1,126,60,120,1,126,60,60,55.5,60,60.0
69,121,1,128,60,121,1,128,60,60,55.5,60,60.0
70,122,1,128,60,122,1,128,60,60,55.5,60,60.0
71,123,1,128,60,123,1,128,60,60,55.5,60,60.0
72,124,1,128,60,124,1,128,60,60,55.5,60,60.0
73,125,1,128,59,125,1,128,59,59,55.5,59,60.0
74,126,1,126,60,126,1,126,60,60,55.5,60,60.0
75,127,1,126,60,127,1,126,60,60,55.5,60,60.0
76,128,1,126,60,128,1,126,60,60,55.5,60,60.0
77,129,1,126,65,129,1,126,65,65,55.5,65,60.0
78,130,1,126,65,130,1,126,65,65,55.5,65,60.0
79,131,1,128,66,131,1,128,66,66,55.5,66,65.0
80,132,1,128,60,132,1,128,60,60,55.5,60,65.0
